username,twhandle,postdate,content,responding,reply,retweet,like
Haberizlenim.com,@haberizlenim,2021-08-02T07:43:59.000Z,Aydıncık’ın üçte biri kül oldu https://haberizlenim.com/aydincikin-ucte-biri-kul-oldu-20993h.htm… #haber #sondakika,"Aydıncık’ın üçte biri kül oldu
Orman yangınları ile küle dönen 40 kilometrekare yüzölçümüne sahip Aydıncık'ta, yangın ilçenin 3’te birinde ağır hasara yol açtı. 
haberizlenim.com",,,
Haberizlenim.com,@haberizlenim,2021-08-02T07:43:59.000Z,Kıdem ve İhbar tazminatı alabilmek için dikkat etmeniz gerekenler https://haberizlenim.com/kidem-ve-ihbar-tazminati-alabilmek-icin-dikkat-etmeniz-gerekenler-20992h.htm… #haber #sondakika,"Kıdem ve İhbar tazminatı alabilmek için dikkat etmeniz gerekenler
Çalışanların önemli güvencelerinden birisi kıdem tazminatı. Beli şartlarda bu paraya hak kazanılıyor. Ancak bununla birlikte ek bir tazminat daha var. Üstelik 6 ay çalışmak yetiyor.
haberizlenim.com",,,
Haberizlenim.com,@haberizlenim,2021-08-02T07:43:50.000Z,Demet Akalın’la Aleyna Tilki arasında ipler gerildi https://haberizlenim.com/demet-akalinla-aleyna-tilki-arasinda-ipler-gerildi-20978h.htm… #haber #sondakika,"Demet Akalın’la Aleyna Tilki arasında ipler gerildi
Demet Akalın, 'Sır' şarkısının klibinde robotla evlenen Aleyna Tilki'ye 'Şaklaban' göndermesi yaptı. Genç popçudan yanıt ise gecikmedi.
haberizlenim.com",,,
Memleketten Haber,@MemlekettenH,2021-08-02T07:43:39.000Z,"Kahramanmaraş'ta iki otomobil çarpıştı: 6 yaralı http://memlekettenhaber.com/genel/kahramanmarasta-iki-otomobil-carpisti-6-yarali-h21655.html… @
@MemlekettenH
 aracılığıyla #COVID19 #coronavirus #corona #Kahramanmaraş #istanbul #ankara #izmir #Adana #Antalya #haber #SonDakika #kaza #yaralı #trafik","Kahramanmaraş'ta iki otomobil çarpıştı: 6 yaralı
KAHRAMANMARAŞ (AA) - Kahramanmaraş'ın Elbistan ilçesinde iki otomobilin çarpışması sonucu 6 kişi yaralandı. Burak Gündüz (31) idaresindeki 27 RS 036 plakalı otomobil ile Durdu Mehmet Yıldız'ın...
memlekettenhaber.com",,,
Ali Güngör,@aligingerfx,2021-08-02T07:43:38.000Z,"#haber : Dünyanın üçüncü büyük şirketinden Bitcoin madenciliği haberlerine ilişkin yalanlama!
#Bitcoin 

https://finans.mynet.com/haber/detay/kripto-para/dunyanin-ucuncu-buyuk-sirketinden-bitcoin-madenciligi-haberlerine-iliskin-yalanlama/424761/… #sondakika #finans #ekonomi #limitforextr","Dünyanın üçüncü büyük şirketinden Bitcoin madenciliği haberlerine ilişkin yalanlama!
Dünyanın en büyük üçüncü şirketi olan Saudi Aramco'dan yapılan açıklamada, Bitcoin madenciliği faaliyetlerine başlayacağı yönünde yapılan haberlere yalanlama geldi.
finans.mynet.com",,,
SLK Haber,@SlkHaber,2021-08-02T07:42:23.000Z,"Dolmuş durağındaki tacizciyi halkın öfkesinden polis kurtardı! ||  SLK HABER https://slkhaber.com/dolmus-duragindaki-tacizciyi-halkin-ofkesinden-polis-kurtardi/… 

#taciz #kuşadası #haber","Dolmuş durağındaki tacizciyi halkın öfkesinden polis kurtardı! || SLK HABER
Tatil için Kuşadası’na gelen üniversiteli kıza elle tacizde bulunduğu iddia edilen zanlı linç edilmek istendi.
slkhaber.com",,,
Ulak News,@ulaknews,2021-08-02T07:42:07.000Z,Orman Genel Müdürlüğü açıkladı: Orman yangınlarında son durum... https://ulak.news/haber_orman-genel-mudurlugu-acikladi-o_aydinlik_252603.html… --- #sondakika #haber #sondakikahaber #haberler,"Orman Genel Müdürlüğü açıkladı: Orman yangınlarında son durum
Orman Genel Müdürlüğü sosyal medyadan yaptığı paylaşımla orman yangınlarındaki son durumu aktardı. Yapılan paylaşımda ""Orman Vatandır, vatanımızı savunacağız."" ifadeleri kullanıldı. | Ulak News
ulak.news",,,
SON_Ajans,@SONAjans1,2021-08-02T07:41:13.000Z,"Kahramanmaraş’ta iki otomobil kafa kafaya çarpıştı: 6 yaralı  https://sonhaberajansi.com/kahramanmarasta-iki-otomobil-kafa-kafaya-carpisti-6-yarali-5812h.htm… 
@SONAjans1
 aracılığıyla #haber #sonhaberajansi #kaza #trafik #yaralı #coronavirus #COVID19","Kahramanmaraş’ta iki otomobil kafa kafaya çarpıştı: 6 yaralı 
Kahramanmaraş’ın Ekinözü ilçesinde iki otomobilin kafa kafaya çarpışması sonucu meydana gelen trafik kazasında 6 kişi yaralandı.
sonhaberajansi.com",,1,
olay.com.tr,@OlayHaber_Bursa,2021-08-02T07:39:04.000Z,"Şahan Gökbakar yardım istedi! Helikopter geldi!

https://olay.com.tr/galeri/sahan-gokbakar-yardim-istedi-helikopter-geldi-826615… #haber #sondakika",,,,1
Memleketten Haber,@MemlekettenH,2021-08-02T07:31:44.000Z,"Rektör Prof. Dr. Niyazi Can, Uluslararası Öğrencilerle Bir Araya Geldi http://memlekettenhaber.com/egitim/rektor-prof-dr-niyazi-can-uluslararasi-ogrencilerle-bir-araya-geldi-h21657.html… @
@MemlekettenH
 aracılığıyla #COVID19 #coronavirus #corona #Kahramanmaraş #istanbul #ankara #izmir #Adana #Antalya #haber #SonDakika","Rektör Prof. Dr. Niyazi Can, Uluslararası Öğrencilerle Bir Araya Geldi
Kahramanmaraş Sütçü İmam Üniversitesi (KSÜ) Rektörü Prof. Dr. Niyazi Can, KSÜ’den eğitim gören yabancı uyruklu öğrencilerle bir araya gelerek memnuniyet ve beklentilerini dinledi.
memlekettenhaber.com",,,
