username,twhandle,postdate,content,responding,reply,retweet,like
Yavuz Mental,@yavuzmental,2021-08-12T07:45:01.000Z,12 Ağustos 2021 Günlük Altın Fiyatları ve Döviz Kurları https://yavuzmental.com/12-agustos-2021-gunluk-altin-fiyatlari-ve-doviz-kurlari/… #EKONOMİ #haber #Para #dolar #Euro #Bitcoin #Ethereum #kriptohaber #Persembe,"12 Ağustos 2021 Günlük Altın Fiyatları ve Döviz Kurları - Yavuz Mental
12 Ağustos 2021 Günlük Altın Fiyatları ve Döviz Kurları yazımızda Altın, Dolar, Euro, Sterlin, Bist 100, Bitcoin, Ethereum, Gümüş ve Faiz
yavuzmental.com",,,,"['EKONOMİ', 'haber', 'Para', 'dolar', 'Euro', 'Bitcoin', 'Ethereum', 'kriptohaber', 'Persembe']"
Bursa Sancak,@BursaSancak,2021-08-12T07:44:39.000Z,"Hakkında yakalama kararı olan şüpheli, polislere ateş açtı #Bursa 
https://tinyurl.com/xfjxchdb
#bursa #sondakika #haber #gündem #perşembe #asayiş",,,,,"['Bursa', 'bursa', 'sondakika', 'haber', 'gündem', 'perşembe', 'asayiş']"
olay.com.tr,@OlayHaber_Bursa,2021-08-12T07:44:26.000Z,"#Bursa'da korkutan yangın

https://olay.com.tr/bursada-korkutan-yangin-132-831904… #haber #sondakika #İnegöl",,,,,"['Bursa', 'haber', 'sondakika', 'İnegöl']"
Gazette.com.tr,@GazetteGazete,2021-08-12T07:44:07.000Z,"Rektör Prof. Dr. Meryem Tuncel: “Çiftçilerimize destek olmak üniversitemizin toplumsal sorumluluğudur” https://gazette.com.tr/Haber/gundem/rektor-prof-dr-meryem-tuncel-ciftcilerimize-destek-olmak-universitemizin-toplumsal-sorumlulugudur-76032… 
#adana #haber #gundem #haberler #çiftçi #Persembe #gunaydin",,,,2,"['adana', 'haber', 'gundem', 'haberler', 'çiftçi', 'Persembe', 'gunaydin']"
Haberizlenim.com,@haberizlenim,2021-08-12T07:43:50.000Z,Hangi tip oyuncusunuz https://haberizlenim.com/hangi-tip-oyuncusunuz-21282h.htm… #haber #sondakika,"Hangi tip oyuncusunuz
Oyun oynamanın yaşı ya da cinsiyeti yok ama her oyuncunun bir tarzı var. Günümüzde oyunların gittikçe çeşitlenmesi ve yaygın hale gelmesi, birçok farklı oyuncu tipini de ortaya çıkarıyor.
haberizlenim.com",,,,"['haber', 'sondakika']"
Haberizlenim.com,@haberizlenim,2021-08-12T07:43:49.000Z,Yabani sergisi Ayvalık Ayazması'nda sanatseverlerle buluştu https://haberizlenim.com/yabani-sergisi-ayvalik-ayazmasinda-sanatseverlerle-bulustu-21281h.htm… #haber #sondakika,"Yabani sergisi Ayvalık Ayazması'nda sanatseverlerle buluştu
Fotoğraf sanatçısı Ali Kabaş’ın “Yabani/Untamed” adını verdiği, Karadeniz, Marmara, Ege ve Akdeniz sahillerini paramotoruyla uçarak fotoğrafladığı karelerden oluşan sergisi Ayvalık Ayazması’nda...
haberizlenim.com",,,,"['haber', 'sondakika']"
Haberizlenim.com,@haberizlenim,2021-08-12T07:43:48.000Z,Güneş yanığında bu hataları sakın yapmayın https://haberizlenim.com/gunes-yaniginda-bu-hatalari-sakin-yapmayin-21280h.htm… #haber #sondakika,"Güneş yanığında bu hataları sakın yapmayın
Toplumda sadece estetik bir problem olarak görülse de, tedavisinde gecikildiğinde ciltteki bağışıklık sistemini baskılayarak uçuk ve zona gibi enfeksiyonları tetikleyebiliyor.
haberizlenim.com",,,,"['haber', 'sondakika']"
Haberizlenim.com,@haberizlenim,2021-08-12T07:43:47.000Z,TUGFO Ayvalık Amfitiyatro sahnesinde sanatseverlerle buluştu https://haberizlenim.com/tugfo-ayvalik-amfitiyatro-sahnesinde-sanatseverlerle-bulustu-21279h.htm… #haber #sondakika,"TUGFO Ayvalık Amfitiyatro sahnesinde sanatseverlerle buluştu
Türkiye Gençlik Filarmoni Orkestrası (TUGFO), Ayvalık 7. AIMA Müzik Festivali’nin açılışında Ayvalık Amfitiyatro sahnesinde sanatseverlerle buluştu.
haberizlenim.com",,,,"['haber', 'sondakika']"
Haberizlenim.com,@haberizlenim,2021-08-12T07:43:47.000Z,Bilimkurgu filmlerindeki Robotlar gerçek oldu https://haberizlenim.com/bilimkurgu-filmlerindeki-robotlar-gercek-oldu-21278h.htm… #haber #sondakika,"Bilimkurgu filmlerindeki Robotlar gerçek oldu
CyberDog, Xiaomi'nin mühendislik becerisinin doruk noktasını temsil ediyor ve açık kaynak olmasıyla var olan geliştiricilerin üzerinde geliştirmeler yapabilmesini sağlamaya odaklanıyor.
haberizlenim.com",,,,"['haber', 'sondakika']"
Haberizlenim.com,@haberizlenim,2021-08-12T07:43:41.000Z,Kamu işçisinin taban ücreti 4 bin 100 lira oldu https://haberizlenim.com/kamu-iscisinin-taban-ucreti-4-bin-100-lira-oldu-21270h.htm… #haber #sondakika,"Kamu işçisinin taban ücreti 4 bin 100 lira oldu
Kamu işçisinin zam görüşmelerinde anlaşma sağlandı. Çalışma ve Sosyal Güvenlik Bakanı Vedat Bilgin, kamu işçilerine birinci 6 ay için yüzde 12, ikinci 6 ay için yüzde 5 zam yapılacağını açıkladı.
haberizlenim.com",,,,"['haber', 'sondakika']"
