username,twhandle,postdate,content,responding,reply,retweet,like
Deprem Bilgi Sistemi,@DepremBilgiTR,2021-08-01T16:14:18.000Z,"AKDENIZ
Büyüklük: 4.3
Tarih:
 01.08.2021
Saat:
 19:04:41
Derinlik:
 5.0 km #deprem #SonDakika",,,2,6,"['deprem', 'SonDakika']"
Son.dakika.haber7.24,@Haber7Son,2021-08-01T15:32:05.000Z,#SONDAKİKA,,,,1,['SONDAKİKA']
Hhajans_,@Hhajans_,2021-07-31T21:26:03.000Z,#SONDAKİKA,,,1,1,['SONDAKİKA']
Son.dakika.haber7.24,@Haber7Son,2021-08-02T07:40:47.000Z,#SONDAKİKA,,,,1,['SONDAKİKA']
Alpago,@thealpago,2021-08-01T14:36:12.000Z,"#Sondakika

Milli Savunma Bakanlığı, vatandaşların denizden tahliye edilmesine destek vermek amacıyla iki çıkarma gemisini Marmaris'e sevk etti.",,,,1,['Sondakika']
Kamp Ateşi Arama Kurtarma Derneği (KATAK),@kampatesiarama,2021-08-02T11:16:38.000Z,Isparta nın Sütçüler ilçesine bağlı Çandır köyü yazılı kanyon mevkiinde orman yangını meydana geldi.Yangını gören vatandaşların durumu 112 ekiplerine bildirmesiyle olay yerine itfaiye ekipleri sevk edildi.Yangının çıkış nedeni ise henüz bilinmiyor.#gecmisolsunturkiye #SonDakika,,,2,1,"['gecmisolsunturkiye', 'SonDakika']"
Karma Gazete,@KarmaGazete,2021-08-02T00:40:40.000Z,"Akdeniz'de deprem meydana geldi.
Büyüklük: 3.1 Derinlik: 5.0 km #deprem #SonDakika",,,,3,"['deprem', 'SonDakika']"
Solcu Mizaj,@SolcuMizaj,2021-07-31T22:35:20.000Z,"#SonDakika | Yunanistan Türkiye'ye ateş açtı. Bir vatandaşımız hayatını kaybetti.

•Allah rahmet eylesin.",,,3,1,['SonDakika']
Akşunvar Haber Kanalı,@AksunvarHK,2021-07-30T16:46:18.000Z,Türk polisi orman yangınlarına karşı denetimlerini şimdilik İstanbul ve İzmir'de sürdürüyor. #SonDakika,,,4,14,['SonDakika']
Deprem Bilgi Sistemi,@DepremBilgiTR,2021-08-01T16:58:17.000Z,"AKDENIZ
Büyüklük: 3.6
Tarih:
 01.08.2021
Saat:
 19:51:53
Derinlik:
 10.2 km #deprem #SonDakika",,,,2,"['deprem', 'SonDakika']"
Deprem Bilgi Sistemi,@DepremBilgiTR,2021-08-01T23:27:15.000Z,"AKDENIZ
Büyüklük: 3.3
Tarih:
 02.08.2021
Saat:
 02:02:44
Derinlik:
 11.4 km #deprem #SonDakika",,,,3,"['deprem', 'SonDakika']"
,@khfatyaaa,2021-07-30T22:25:25.000Z,"DİKKAT
#GecmisOlsunManavgat #SONDAKIKA #SonDakika #sonsayfa #PrayOfTurkey #PrayForTurkey #TuerkiyeYakılıyor #TuerkiyeYAKILIYOR #TuerkiyeYanıyor #YANIYORUZ #manavgatyangin",,1,3,2,"['GecmisOlsunManavgat', 'SONDAKIKA', 'SonDakika', 'sonsayfa', 'PrayOfTurkey', 'PrayForTurkey', 'TuerkiyeYakılıyor', 'TuerkiyeYAKILIYOR', 'TuerkiyeYanıyor', 'YANIYORUZ', 'manavgatyangin']"
TÜRK (𐱅𐰼𐰇𐰰) #PrayForTurkey,@mvzkemalistler,2021-08-02T13:53:05.000Z," #SonDakika

Muğla'daki yangının ardından gökyüzünde 40 km2'lik yangın bulutu oluştu. 
#HelpTurkey
#PrayForTurkey",,,,1,"['SonDakika', 'HelpTurkey', 'PrayForTurkey']"
LİVE HABER,@livehaber,2021-08-02T17:09:38.000Z,"Yangın bölgelerindeki mücadelenin 5 günlük bilançosu https://livehaber.net/gundem/yangin-bolgelerindeki-mucadelenin-5-gunluk-bilancosu-h15029.html…

#Haberler #Sondakika",,,,,"['Haberler', 'Sondakika']"
DiploPol,@diplopol1,2021-08-01T14:03:10.000Z,"Marmaris Belediyesinin Paylaşımı.
#SonDakika",,,,,['SonDakika']
Sevo,@aydinsevilayse,2021-08-02T16:12:46.000Z,"#SonDakika  Marmaris Hisarönü nde durum korkunç insanlar perişan yangın canlıları, evleri, arabaları yutuyor! ÇOK ACİL YARDIM gerekiyor!  #TürkiyeYanıyor #Turkeyisburning #Marmaris #MarmarisYangını #MarmarisYanıyor #Help #HelpTurkey #HavadanDestek #HavadanMüdahaleİstiyoruz","0:32
342 views",,9,6,"['SonDakika', 'TürkiyeYanıyor', 'Turkeyisburning', 'Marmaris', 'MarmarisYangını', 'MarmarisYanıyor', 'Help', 'HelpTurkey', 'HavadanDestek', 'HavadanMüdahaleİstiyoruz']"
arya_lipaa,@arya_lipa,2021-07-31T21:05:17.000Z,#İSTANBUL #SONDAKIKA,,,,1,"['İSTANBUL', 'SONDAKIKA']"
Büyük Türk Haber,@BuyukTurkHaber,2021-07-30T00:23:28.000Z,"Diyanet Vakfı, '1 İyilik 1 Fidan' bağış kampanyası başlattı.
#Sondakika",,,,1,['Sondakika']
Deprem Bilgi Sistemi,@DepremBilgiTR,2021-08-01T20:50:17.000Z,"AKDENIZ
Büyüklük: 3.5
Tarih:
 01.08.2021
Saat:
 23:44:53
Derinlik:
 5.0 km #deprem #SonDakika",,,,1,"['deprem', 'SonDakika']"
MTLHABERCİLKK,@MTL_HABER,2021-07-30T09:42:56.000Z,Ukrayna'ya ait yangın söndürme uçakları Türkiye'ye uçtu. #SonDakika,,,,8,['SonDakika']
Büyük Türk Haber,@BuyukTurkHaber,2021-08-02T16:45:05.000Z,"Hırvatistan’ın gönderdiği yangın müdahele uçağı Türkiye’ye giriş yaptı.
#Sondakika",,,1,,['Sondakika']
Mehmet,@Mehmet066501,2021-08-01T06:21:46.000Z,#SonDakika,,,,,['SonDakika']
Akşunvar Haber Kanalı,@AksunvarHK,2021-07-31T10:09:53.000Z, Son durum. #SonDakika #PrayForTurkey,,,5,7,"['SonDakika', 'PrayForTurkey']"
Antalya Duysun,@AntalyaDuysun,2021-08-01T08:16:30.000Z,"#SonDakika 

Antalya Gazipaşa’daki yangın kontrol altına alındı.",,,,,['SonDakika']
Büyük Türk Haber,@BuyukTurkHaber,2021-08-02T16:36:11.000Z,"Antalya Manavgat'ta Rus turistleri taşıyan tur midibüsü kaza yaptı. İlk belirlemelere göre 3 kişi hayatını kaybetti, 16 kişi yaralandı.
#Sondakika",,,,,['Sondakika']
Serkan ÇİÇEK,@serkancicek0715,2021-07-28T17:38:33.000Z,#Manavgat #yangin #SonDakika,,,,,"['Manavgat', 'yangin', 'SonDakika']"
Deprem Bilgi Sistemi,@DepremBilgiTR,2021-08-01T21:43:28.000Z,"AKDENIZ
Büyüklük: 3.9
Tarih:
 02.08.2021
Saat:
 00:38:23
Derinlik:
 9.1 km #deprem #SonDakika",,,,3,"['deprem', 'SonDakika']"
Vegas,@Vegas14874286,2021-07-31T03:46:43.000Z,Son Dakika:  İzmir ve çevresinde büyük bir #meteor düşüşü görüldü  #SonDakika,,1,3,12,"['meteor', 'SonDakika']"
Kayseri Asayiş,@AsayisKayseri,2021-08-02T16:55:40.000Z,"#SonDakika Türkiye'de son 24 saatte 270 bin 426 #COVID19 testi yapıldı, 22 bin 898 kişinin testi pozitif çıktı, 91 kişi hayatını kaybetti.",,,,1,"['SonDakika', 'COVID19']"
Sadecehaber,@Sadecehaber_,2021-07-29T08:49:20.000Z,#sondakika AFAD: Manavgat'taki yangında 3 vatandaşımız hayatını kaybetti,,,,1,['sondakika']
Ulusal Portal,@UlusalPortal,2021-08-02T11:36:33.000Z,#Sondakika Manisa Sarıgöl'de de orman yangını başladı,,,4,2,['Sondakika']
mskütimes,@mskutimes,2021-07-29T15:27:10.000Z,#SonDakika Manavgat'taki yangının ardından Marmaris'te de yangın çıktı. Bölgeden yükselen dumanlar böyle görüntülendi.,,,,16,['SonDakika']
DarknetHaber #TakipEt,@Darknethaberler,2021-08-02T17:03:48.000Z,"#İzmir'in #Gaziemir ilçesinde, ormanlık alanda yangın çıktı.

#TürkiyeYanıyor #helpturkey #StrongTürkiye #SonDakika #izmiryanıyor","0:14
106 views",,2,1,"['İzmir', 'Gaziemir', 'TürkiyeYanıyor', 'helpturkey', 'StrongTürkiye', 'SonDakika', 'izmiryanıyor']"
Deprem Bilgi Sistemi,@DepremBilgiTR,2021-08-01T20:42:30.000Z,"AKDENIZ
Büyüklük: 3.8
Tarih:
 01.08.2021
Saat:
 23:37:24
Derinlik:
 6.9 km #deprem #SonDakika",,,,,"['deprem', 'SonDakika']"
TÜRK (𐱅𐰼𐰇𐰰) #PrayForTurkey,@mvzkemalistler,2021-08-02T14:10:35.000Z,"  #SonDakika
Marmaris'te Hisarönünde yangının köyün içine inmesi nedeniyle köy tahliye ediliyor, vatandaşlar helikopter desteği bekliyor.

 

#HelpTurkey ","From 
Politic Türk",,3,5,"['SonDakika', 'HelpTurkey']"
BUSE36,@_busexcc,2021-07-31T21:31:57.000Z,Lütfen yardım gönderin halk tek başına yapamıyor  #kasyanıyor #sondakika #helpturkey,,,70,63,"['kasyanıyor', 'sondakika', 'helpturkey']"
esma öykü,@esmaoykuu,2021-08-01T17:57:19.000Z,#çökertmeyanıyor #muğlayanıyor #SonDakika #havadanmüdaheleistiyoruz,,,,6,"['çökertmeyanıyor', 'muğlayanıyor', 'SonDakika', 'havadanmüdaheleistiyoruz']"
Haberim Var,@HaberimVar12,2021-07-30T08:07:07.000Z,#SONDAKİKA,,,,,['SONDAKİKA']
Şafak Birsel,@HeymilfHeymilf1,2021-07-31T14:31:33.000Z,#SONDAKİKA #memleketyanıyor #MEMLEKETYANİYOR,,,,,"['SONDAKİKA', 'memleketyanıyor', 'MEMLEKETYANİYOR']"
AlayinaHodrimeydan,@AHodrimeydan,2021-08-01T22:49:54.000Z,Kocaeli Gölcük'te yangın çıktığı iddiası Var Umarız Söndürülür Bir An Önce #sondakika #yangin #gölcük #helpturkey #havadanmudahaleistiyoruz,,,,4,"['sondakika', 'yangin', 'gölcük', 'helpturkey', 'havadanmudahaleistiyoruz']"
haberilk,@haberilkk,2021-08-02T10:43:54.000Z,"Kabine toplantısı ertelendi
#SonDakika #haber",,,,,"['SonDakika', 'haber']"
Akşunvar Haber Kanalı,@AksunvarHK,2021-07-30T09:28:51.000Z,"KAYSERİ YAHYALI YANGINI KONTROL ALTINA ALINDI.
#SonDakika",,,6,9,['SonDakika']
mekanikgozyasi,@mekanikgozyasi,2021-08-01T10:13:59.000Z,#SonDakika #OrmanYangınları,,,,,"['SonDakika', 'OrmanYangınları']"
Bilinen Haberci,@BilinenHaberci,2021-08-01T09:14:55.000Z,Bekir #Pakdemirli: 112 orman yangınının 107'si kontrol altında. #sondakika,,,,,"['Pakdemirli', 'sondakika']"
