username,twhandle,postdate,content,responding,reply,retweet,like
İyilik Saglik Derneği,@iyiliksaglikder,2021-07-30T18:48:06.000Z,#iyilik #sağlık #mali’ye #uçuyor,,,,1,"['iyilik', 'sağlık', 'mali', 'uçuyor']"
Türk Dişhekimleri Birliği,@TDB_TDA,2021-07-29T10:23:06.000Z,"AŞILANIN HAYATA GÜVENLE KATILIN!
Haberin detayı için: http://tdb.org.tr/icerik_goster.php?Id=3832…

#turkdishekimleribirligi #türkdişhekimleribirliği #diş #sağlık #dişhekimi #tdbhaber",,,8,11,"['turkdishekimleribirligi', 'türkdişhekimleribirliği', 'diş', 'sağlık', 'dişhekimi', 'tdbhaber']"
Hacer,@Hacer16442274,2021-07-29T11:59:56.000Z,"Dermatolojik olarak test edilmiştir.
Triklosan, paraben ve parafin içermez.#farmasi #ciltbakim #tatilde #saglik #vegan #bitkisel",,,,,"['farmasi', 'ciltbakim', 'tatilde', 'saglik', 'vegan', 'bitkisel']"
Türk Dişhekimleri Birliği,@TDB_TDA,2021-07-28T07:33:56.000Z,"TDB 18. DÖNEM MERKEZ DENETLEME KURULU’NUN GÖREV DAĞILIMI BELLİ OLDU
Haberin detayı için: http://tdb.org.tr/icerik_goster.php?Id=3827…

#turkdishekimleribirligi #türkdişhekimleribirliği #diş #sağlık #dişhekimi #tdbhaber",,,2,2,"['turkdishekimleribirligi', 'türkdişhekimleribirliği', 'diş', 'sağlık', 'dişhekimi', 'tdbhaber']"
Urfadan Haber,@urfadanhabercom,2021-07-28T13:22:41.000Z,"Kısa bir aradan sonra aşı yine başladı https://urfadanhaber.com/haber/kisa-bir-aradan-sonra-asi-yine-basladi.html… 
#Sağlık #Şanlıurfa #Çarşamba","Kısa bir aradan sonra aşı yine başladı
Şanlıurfa’da Covid-19 birimlerinde aşırı yoğunluktan dolayı sistem gidince, aşılama sıkıntısı yaşandı. Sistemde yaşanan sıkıntının giderilmesiyle vatandaşlar yeniden aşı olmaya başladı.
urfadanhaber.com",,,,"['Sağlık', 'Şanlıurfa', 'Çarşamba']"
uzaylı,@uzayliibirii,2021-07-27T01:16:52.000Z,"____//_____//_______///
 #HAYIRLISABAHLAR 
          ____//_____//_______///
 #GÜNAYDIN  
          ____//_____//_______///
 #guenaydın  #huzur #umut
          ____//_____//_______///
 #gunaydin  #sağlık #neşe
          ____//_____//_______///
#mutluluk",,,1,7,"['HAYIRLISABAHLAR', 'GÜNAYDIN', 'guenaydın', 'huzur', 'umut', 'gunaydin', 'sağlık', 'neşe', 'mutluluk']"
Gano Excel,@GanoExcel68100,2021-07-30T15:01:21.000Z,Malezyadan gelen çeşitli aromalardaki kahvelerimiz için DM’deyiz. #gano #kahve #sabun #sağlık #keyif,,,1,1,"['gano', 'kahve', 'sabun', 'sağlık', 'keyif']"
Op. Dr. Fatih Kırar,@drfatihkirar,2021-07-31T10:17:41.000Z,"Ameliyatsız mutluluk 
.
.
.
.
.
.
.
#istanbul #doktor #sağlık #tv #haber #ülke #omurga",,,,1,"['istanbul', 'doktor', 'sağlık', 'tv', 'haber', 'ülke', 'omurga']"
Urfadan Haber,@urfadanhabercom,2021-08-02T11:56:38.000Z,"Eski Bakan Cevheri’nin acı günü https://urfadanhaber.com/haber/eski-bakan-cevheri-nin-aci-gunu.html… 
#Şanlıurfa #Pazartesi #Sağlık","Eski bakan cevheri’nin acı günü
Şanlıurfalı eski Bakan Necmettin Cevheri’nin eşi Yüksel Cevheri hayatını kaybetti.
urfadanhaber.com",1,,2,"['Şanlıurfa', 'Pazartesi', 'Sağlık']"
Fatih Düz,@FatihDz13,2021-07-29T09:50:08.000Z,"İlçemizin  8 Mahallesinde bulunan 12 Adet içme suyu deposumuzu Sağlık Bakanlığı'ndan onaylı ekip tarafından Kurban Bayramı öncesi temizlik, dalilat ve dezenfekte işlemleri yaptırılmıştır. 

#Sağlık Herşeydir",,2,1,15,['Sağlık']
